size,amount
2,35123
3,23629
4,15449
5,11360
2053,1
6,8265
7,6344
8,5062
9,4113
10,3443
11,2815
12,2330
13,2173
14,1714
15,1614
16,1378
17,1237
18,1044
19,966
20,862
21,766
22,721
23,636
24,600
25,527
1049,1
26,449
27,416
28,402
29,332
2077,2
30,370
31,300
32,303
3104,1
33,284
34,256
1058,1
35,234
36,223
37,192
38,188
39,150
40,166
41,146
42,149
43,131
44,137
45,99
46,124
47,120
48,89
49,80
50,103
1075,1
51,76
52,76
2100,1
53,65
54,68
55,60
56,72
57,59
58,46
59,38
60,53
61,55
62,45
63,51
64,45
65,44
66,35
67,48
68,34
69,28
70,25
71,29
72,31
73,25
74,33
75,22
76,22
77,26
78,25
79,24
1103,2
80,25
81,21
82,15
83,14
84,15
85,22
86,21
87,10
88,14
89,20
90,13
91,17
92,11
93,19
94,10
95,11
96,14
97,11
98,10
99,9
100,6
101,15
102,9
103,12
104,9
105,6
106,8
107,8
108,11
109,7
110,7
111,7
112,5
113,5
114,4
115,5
116,4
1140,1
117,2
118,3
119,5
120,3
121,3
122,5
123,4
124,4
125,2
1150,1
126,7
127,6
128,6
2177,1
129,3
130,5
1155,2
131,8
132,4
133,2
134,4
135,6
136,4
137,2
138,6
139,1
1164,1
140,3
141,3
142,5
143,3
144,5
145,4
146,2
2195,1
147,1
148,1
149,3
150,3
152,2
3225,1
153,1
154,3
155,3
156,3
157,3
158,5
1182,1
159,3
161,2
162,5
163,1
164,3
167,2
168,1
169,4
170,2
171,1
172,3
173,2
174,2
175,5
176,2
177,3
178,4
1202,1
180,5
182,1
184,1
185,2
21690,1
187,2
188,1
189,3
190,3
191,1
194,1
195,4
196,2
197,1
198,1
199,1
200,1
201,3
202,2
203,1
204,1
1229,1
205,1
206,3
207,2
208,3
1233,1
210,1
211,1
212,2
213,1
215,1
217,1
3290,1
218,1
219,1
221,1
222,1
223,1
224,1
225,2
226,1
227,3
228,3
232,1
233,1
234,1
235,1
237,1
238,2
239,2
241,1
242,1
1267,1
243,2
2292,1
244,1
245,2
247,1
249,3
252,1
256,1
259,1
261,2
262,2
265,1
267,2
269,1
270,1
272,1
274,1
1300,1
276,2
277,1
278,1
280,1
281,2
282,1
283,3
284,1
285,2
4382,1
286,2
287,1
289,1
291,2
292,1
3372,1
300,1
302,1
308,1
310,2
316,1
320,2
321,1
322,1
325,1
2387,1
345,1
346,2
347,1
349,1
350,1
351,2
1385,1
363,2
366,1
367,2
1396,1
373,1
375,1
376,1
379,1
381,1
3453,1
385,1
390,2
392,1
396,1
402,1
406,1
410,1
411,1
414,2
432,1
437,1
438,1
448,1
451,1
459,1
465,1
1491,1
471,1
473,1
476,1
1502,1
483,1
485,1
488,1
2540,1
497,2
502,1
503,1
504,1
8700,1
508,1
512,1
513,1
516,1
520,1
525,1
1552,1
1555,1
546,1
4644,1
1581,1
557,1
2607,1
560,2
570,1
580,1
583,1
587,1
596,1
599,1
600,1
604,1
608,1
4718,1
627,1
632,1
644,1
656,1
2489015,1
1690,1
667,1
669,1
681,1
688,1
700,1
701,1
6848,1
1734,1
723,1
727,1
3820,1
3821,1
1778,1
28403,1
756,1
1780,1
760,2
1787,1
2812,1
768,1
770,1
6937,1
799,1
15136,1
828,1
830,1
834,1
848,1
1878,1
859,1
3942,1
880,1
896,1
899,1
914,1
926,1
1955,1
964,1
991,1
1007,1
1017,1
1021,2
