degree,amount
1,599668
2,217128
3,82520
4,49247
5,32762
6,23521
7,17259
8,13229
9,10091
10,7600
11,6218
12,4857
13,3901
14,3257
15,2818
16,2374
17,2062
18,1920
19,1800
20,1666
21,1636
22,1398
23,1493
24,1517
25,1385
26,1357
27,1296
28,1279
29,1137
30,1255
31,1187
32,1197
33,1096
34,1137
35,1029
36,1018
37,1090
38,1033
39,1009
40,976
41,980
42,951
43,957
44,901
45,856
46,795
47,811
48,792
49,796
50,758
51,728
52,730
53,657
54,644
55,613
56,575
57,562
58,570
59,547
60,528
61,546
62,491
63,459
64,436
65,449
66,387
67,423
68,414
69,397
70,390
71,382
72,311
73,328
74,286
75,310
76,256
77,257
78,252
79,267
80,263
81,237
82,216
83,207
84,177
85,199
86,175
87,189
88,170
89,155
90,175
91,149
92,160
93,158
94,151
95,133
96,125
97,136
98,138
99,142
100,135
101,130
102,110
103,124
104,106
105,101
106,117
107,94
108,95
109,102
110,94
111,84
112,99
113,91
114,94
115,108
116,94
117,85
118,81
119,78
120,101
121,78
122,88
123,95
124,102
125,92
126,97
127,91
128,68
129,80
130,69
131,86
132,80
133,89
134,92
135,75
136,81
137,70
138,85
139,88
140,86
141,70
142,75
143,69
144,75
145,63
146,73
147,73
148,77
149,71
150,77
151,77
152,63
153,73
154,75
155,66
156,68
157,83
158,76
159,76
160,82
161,63
162,66
163,74
164,66
165,62
166,62
167,73
168,82
169,72
170,69
171,60
172,86
173,61
174,73
175,91
176,68
177,78
178,80
179,75
180,49
181,68
182,78
183,73
184,61
185,66
186,69
187,68
188,73
189,65
190,68
191,73
192,64
193,60
194,67
195,64
196,77
197,46
198,64
199,52
200,61
201,70
202,60
203,56
204,54
205,54
206,66
207,52
208,52
209,61
210,65
211,48
212,51
213,47
214,34
215,58
216,49
217,57
218,53
219,50
220,56
221,53
222,68
223,45
224,46
225,41
226,60
227,54
228,47
229,46
230,42
231,33
232,42
233,46
234,47
235,65
236,36
237,47
238,40
239,28
240,49
241,33
242,42
243,45
244,47
245,46
246,50
247,35
248,32
249,32
250,36
251,39
252,32
253,34
254,41
255,34
256,39
257,41
258,30
259,26
260,46
261,43
262,34
263,36
264,37
265,35
266,29
267,34
268,23
269,33
270,38
271,35
272,35
273,27
274,24
275,36
276,21
277,30
278,28
279,28
280,33
281,27
282,21
283,28
284,24
285,21
286,27
287,28
288,33
289,24
290,25
291,24
292,22
293,32
294,21
295,25
296,14
297,15
298,12
299,34
300,17
301,26
302,26
303,18
304,20
305,15
306,22
307,14
308,15
309,16
310,21
311,19
312,17
313,21
314,9
315,23
316,15
317,22
318,17
319,20
320,13
321,14
322,11
323,18
324,16
325,20
326,21
327,22
328,14
329,18
330,11
331,21
332,13
333,17
334,8
335,12
336,17
337,15
338,17
339,16
340,13
341,18
342,13
343,8
344,12
345,11
346,8
347,9
348,13
349,14
350,11
351,10
352,6
353,11
354,14
355,8
356,8
357,7
358,9
359,10
360,11
361,8
362,12
363,12
364,8
365,8
366,4
367,7
368,6
369,7
370,13
371,6
372,12
373,8
374,8
375,8
376,10
377,7
378,8
379,7
380,6
381,7
382,8
383,7
384,7
385,7
386,12
387,10
388,5
389,5
390,6
391,5
392,4
393,5
394,4
395,7
396,4
397,2
398,4
399,6
400,4
401,3
402,6
403,5
404,1
405,8
406,4
407,2
408,4
409,1
410,4
411,3
412,4
413,2
414,2
415,5
416,3
417,1
418,6
419,4
420,4
422,2
423,2
424,3
425,1
426,2
427,2
430,1
432,1
433,4
434,2
435,3
436,4
437,1
439,5
441,3
442,2
443,1
444,2
445,2
446,1
447,2
448,1
450,2
451,3
452,1
453,4
454,1
456,1
457,1
458,1
460,1
461,2
462,1
463,1
464,1
465,2
466,1
469,3
471,3
473,1
477,2
482,1
485,2
488,1
491,1
492,2
493,3
494,2
495,1
496,1
497,1
501,1
502,2
503,1
508,1
509,1
510,1
511,1
513,1
514,1
515,1
516,1
517,1
519,1
520,1
521,1
524,1
527,1
532,1
533,2
544,1
547,2
550,1
551,1
552,1
556,1
559,2
562,1
564,1
571,2
572,1
575,2
576,2
578,3
579,1
580,1
583,1
590,1
592,1
595,1
603,1
615,2
616,1
620,2
621,1
622,1
624,1
630,1
633,1
640,2
647,1
687,1
710,1
747,1
838,1
848,2
