size,amount
2,531552
3,129451
4,67767
5,37158
6,25899
7,18520
8,13827
9,11059
10,8905
11,7422
12,6517
13,5572
14,4842
15,4340
16,3838
17,3510
18,3246
19,2876
20,2664
21,2513
22,2271
23,2223
24,2062
25,1905
26,1797
27,1722
28,1541
29,1464
30,1432
31,1381
32,1343
33,1211
34,1185
35,1002
36,1081
37,1035
38,966
39,936
40,935
41,862
42,828
43,820
44,728
45,799
46,699
47,701
48,711
49,614
50,618
51,590
52,641
53,614
54,564
55,511
56,488
57,497
58,506
59,501
60,462
61,475
62,482
63,432
64,415
65,396
66,382
67,386
68,365
69,407
70,367
71,309
72,329
73,318
74,292
75,330
76,277
77,306
78,288
79,299
80,276
81,249
2129,1
82,257
83,253
84,268
85,237
86,231
2134,1
87,223
88,235
89,204
90,196
91,224
92,208
93,221
94,213
95,187
96,202
97,183
98,211
99,219
100,194
101,162
102,176
103,165
104,192
105,158
106,164
107,163
108,160
109,151
110,170
111,154
112,133
113,133
114,148
115,131
116,146
4212,1
117,118
118,128
119,135
120,128
121,119
122,102
123,116
124,126
125,126
126,121
127,107
128,106
129,102
130,106
131,104
132,98
133,93
134,106
135,100
136,91
137,97
138,93
139,106
140,88
141,92
142,70
2190,1
143,83
144,88
145,95
146,77
147,95
148,86
149,71
150,90
151,77
152,69
153,72
154,70
155,65
156,55
157,62
158,65
159,72
160,74
161,70
162,68
163,65
164,62
165,63
166,54
167,54
168,78
169,60
170,56
171,68
172,55
173,70
174,55
175,58
176,50
177,56
178,54
179,51
180,46
181,54
182,52
183,46
184,62
2232,1
185,46
186,45
187,47
188,47
189,60
190,49
10430,1
191,53
192,27
193,51
194,37
195,37
196,49
197,44
198,35
199,42
200,47
201,46
202,44
203,32
204,38
205,43
206,37
207,49
208,41
209,42
210,39
211,32
212,38
213,35
214,33
215,38
216,25
217,24
218,35
219,28
220,33
221,39
222,23
223,33
224,34
225,29
226,33
227,30
228,31
229,30
230,26
231,32
232,31
233,28
234,30
235,34
236,21
237,23
238,29
239,26
240,17
241,18
242,24
243,15
244,20
245,23
246,24
247,28
248,25
249,22
250,24
251,23
252,25
253,22
254,19
255,17
256,28
257,24
258,21
259,19
260,10
261,12
262,24
263,22
264,19
265,17
266,22
267,21
268,20
269,12
270,23
271,20
272,15
273,12
274,16
275,20
276,11
277,19
278,23
279,16
280,20
281,24
282,23
283,15
284,19
285,12
286,20
287,13
288,17
289,10
290,17
291,11
292,15
293,13
294,15
295,20
296,13
297,16
298,14
299,16
300,10
301,16
302,9
303,10
304,12
305,9
306,13
307,9
308,14
309,12
310,15
311,12
312,15
313,8
314,11
315,15
316,7
317,12
318,12
319,11
320,9
321,10
322,14
323,10
324,7
325,17
326,18
327,15
328,12
329,9
330,10
331,9
332,16
333,12
334,16
335,9
336,7
337,10
338,6
339,12
340,9
341,10
342,5
343,8
344,10
345,6
346,12
347,8
348,16
349,10
350,6
351,7
352,6
353,10
354,6
355,8
356,12
357,12
358,8
359,5
360,10
6504,1
361,11
362,11
363,3
364,7
365,7
366,6
367,9
368,8
369,9
370,4
371,8
372,8
373,7
374,11
375,6
376,4
377,9
378,5
379,7
380,6
381,6
382,6
383,7
384,2
385,7
386,3
387,2
388,6
389,8
390,4
391,6
392,6
393,6
394,8
395,6
396,6
397,3
398,3
399,7
400,7
401,6
402,3
403,4
404,4
405,7
406,10
407,6
408,7
409,4
410,7
411,6
412,5
413,8
414,4
415,5
416,3
417,7
418,4
419,8
420,4
421,7
422,5
423,4
424,5
425,6
426,1
427,3
428,1
429,6
430,4
431,8
432,4
433,3
434,6
435,3
436,9
437,5
438,3
439,3
440,1
441,5
442,5
443,5
444,6
445,2
446,7
447,2
448,1
449,2
450,3
451,4
452,5
453,4
454,6
455,1
456,5
457,5
458,5
459,6
460,3
461,4
462,4
463,2
464,4
465,2
466,5
467,4
468,3
469,4
471,2
2519,1
472,3
473,4
474,3
475,4
476,5
477,1
478,2
479,2
480,5
481,2
482,3
483,4
484,6
485,1
486,2
488,4
489,3
490,4
491,2
492,4
493,5
494,4
495,2
498,3
499,3
500,6
502,1
503,2
504,2
505,1
506,2
508,1
509,2
512,3
513,2
514,1
515,1
2563,1
516,2
518,1
519,5
520,1
521,2
522,2
523,2
524,3
526,2
527,2
528,4
530,1
531,1
533,1
534,1
535,1
536,2
537,3
538,2
540,5
541,1
543,1
544,3
545,2
546,4
547,2
548,1
549,4
550,1
551,5
2599,1
552,5
553,4
23082,1
554,4
555,2
4651,1
556,2
558,2
559,3
560,4
561,3
562,5
563,2
564,2
565,1
566,2
567,1
568,3
569,4
570,2
571,2
572,2
573,2
574,2
575,3
576,2
577,1
578,1
579,3
580,2
581,4
582,2
583,2
584,2
585,4
586,4
587,2
588,1
589,2
590,1
591,1
592,2
593,1
596,1
598,1
599,1
600,3
601,2
603,1
604,3
605,2
607,1
608,2
609,2
610,2
611,2
612,1
613,2
614,1
