degree,amount
1,2645402
2,1601112
3,1071417
4,744004
5,523598
6,372785
7,265075
8,189735
9,135930
10,97391
11,70776
12,51128
13,37163
14,27739
15,20586
16,15695
17,12505
18,9617
19,7963
20,6346
21,5630
22,4740
23,4293
24,3768
25,3513
26,3238
27,2955
28,2728
29,2527
30,2512
31,2388
32,2166
33,1982
34,1882
35,1901
36,1782
37,1737
38,1663
39,1587
40,1512
41,1502
42,1342
43,1374
44,1277
45,1248
46,1238
47,1253
48,1147
49,1125
50,1169
51,1048
52,1055
53,1038
54,1014
55,937
56,990
57,1004
58,900
59,903
60,882
61,854
62,899
63,789
64,862
65,815
66,741
67,773
68,789
69,773
70,752
71,779
72,668
73,722
74,707
75,696
76,668
77,661
78,690
79,626
80,701
81,673
82,639
83,694
84,631
85,634
86,615
87,616
88,607
89,570
90,626
91,587
92,605
93,565
94,631
95,552
96,578
97,567
98,569
99,604
100,543
101,550
102,557
103,540
104,587
105,516
106,531
107,537
108,561
109,508
110,521
111,518
112,537
113,514
114,493
115,524
116,459
117,520
118,492
119,474
120,526
121,475
122,476
123,525
124,523
125,485
126,470
127,493
128,436
129,466
130,416
131,444
132,402
133,477
134,443
135,439
136,459
137,423
138,465
139,468
140,450
141,417
142,393
143,430
144,402
145,379
146,403
147,417
148,438
149,428
150,386
151,401
152,359
153,393
154,404
155,409
156,380
157,383
158,389
159,397
160,377
161,382
162,368
163,385
164,393
165,369
166,353
167,366
168,349
169,386
170,383
171,384
172,401
173,369
174,352
175,407
176,343
177,383
178,358
179,325
180,338
181,358
182,354
183,313
184,322
185,375
186,324
187,360
188,346
189,372
190,310
191,301
192,320
193,288
194,309
195,294
196,354
197,304
198,306
199,303
200,311
201,316
202,258
203,292
204,300
205,283
206,286
207,253
208,260
209,276
210,265
211,249
212,263
213,266
214,226
215,254
216,252
217,271
218,262
219,264
220,285
221,232
222,274
223,242
224,246
225,219
226,246
227,244
228,245
229,240
230,204
231,195
232,204
233,219
234,223
235,268
236,209
237,210
238,203
239,174
240,208
241,185
242,201
243,176
244,178
245,219
246,202
247,201
248,193
249,176
250,197
251,194
252,166
253,173
254,173
255,149
256,172
257,173
258,181
259,157
260,174
261,187
262,154
263,159
264,167
265,153
266,142
267,157
268,147
269,166
270,152
271,148
272,163
273,118
274,124
275,129
276,114
277,143
278,131
279,133
280,133
281,132
282,126
283,129
284,138
285,110
286,127
287,117
288,121
289,121
290,115
291,108
292,121
293,133
294,99
295,100
296,105
297,94
298,98
299,124
300,101
301,117
302,106
303,96
304,94
305,96
306,103
307,95
308,98
309,87
310,87
311,78
312,74
313,81
314,76
315,87
316,90
317,90
318,99
319,84
320,77
321,74
322,63
323,84
324,83
325,83
326,83
327,74
328,84
329,70
330,70
331,74
332,70
333,70
334,72
335,71
336,68
337,67
338,71
339,80
340,56
341,80
342,61
343,64
344,59
345,62
346,54
347,58
348,62
349,69
350,70
351,49
352,51
353,59
354,58
355,60
356,52
357,42
358,46
359,59
360,50
361,40
362,55
363,51
364,50
365,52
366,45
367,51
368,45
369,42
370,53
371,41
372,42
373,48
374,45
375,42
376,46
377,41
378,42
379,39
380,50
381,38
382,35
383,28
384,33
385,40
386,41
387,41
388,38
389,35
390,36
391,21
392,34
393,42
394,22
395,34
396,22
397,19
398,23
399,33
400,21
401,22
402,18
403,22
404,31
405,28
406,14
407,17
408,18
409,19
410,32
411,16
412,28
413,15
414,17
415,23
416,21
417,10
418,20
419,16
420,14
421,10
422,17
423,16
424,13
425,7
426,12
427,17
428,11
429,12
430,17
431,16
432,11
433,16
434,18
435,14
436,14
437,10
438,7
439,16
440,9
441,19
442,9
443,13
444,11
445,11
446,11
447,12
448,9
449,5
450,18
451,10
452,6
453,12
454,12
455,5
456,7
457,11
458,15
459,7
460,12
461,12
462,7
463,8
464,6
465,10
466,13
467,8
468,8
469,8
470,10
471,10
472,10
473,13
474,6
475,8
476,5
477,11
478,12
479,10
480,6
481,7
482,7
483,8
484,3
485,10
486,4
487,6
488,10
489,3
490,8
491,12
492,6
493,14
494,5
495,6
496,3
497,7
498,3
499,5
500,7
501,6
502,15
503,6
504,5
505,5
506,2
507,5
508,4
509,9
510,6
511,7
512,5
513,4
514,12
515,7
516,5
517,4
518,1
519,9
520,4
521,7
522,2
523,2
524,7
525,3
526,7
527,9
528,3
529,4
530,1
531,7
532,1
533,7
534,1
535,1
536,7
537,3
538,5
539,3
540,4
541,9
542,4
543,3
544,6
545,3
546,5
547,6
548,3
549,2
550,5
551,8
552,5
553,5
554,3
555,3
556,1
557,3
558,4
559,6
560,1
562,4
563,3
564,3
565,3
566,3
567,2
568,3
569,7
571,2
572,1
573,7
574,3
575,2
